Time;Horizontal Acceleration;Vertical Acceleration;Horizontal Velocity;Vertical Velocity;Horizontal Position;Vertical Position;Power;Thrust;Drag;Delta;Alpha;MissionEnergy
171.615;-0.135135;0;0.524506;-1;1499.07;66.3777;1703.72;84.7317;0.00267895;0.0137601;-1.08774;291359;
172.618;-0.135135;0;0.388885;-1;1499.53;65.3741;1703.85;84.7319;0.0023468;0.0137647;-1.19991;293069;
173.622;-0.135135;0;0.253264;-1;1499.85;64.3706;1703.99;84.7321;0.00209317;0.0137686;-1.32275;294779;
174.626;-0.135135;-1;0.117643;-2.0036;1500.04;62.8634;1699.52;76.0909;0.00746364;0.0153334;-1.51215;296484;
175.629;-0.135135;-1;-0.017978;-3.00719;1500.09;60.349;1542.13;76.115;0.0166415;0.015333;1.56482;298032;
176.633;0;0;0;-3;1500;57.3382;1542.57;84.7423;0.0181873;9.6165e-005;90;299580;
177.636;0;0;0;-3;1500;54.3274;1543.01;84.7423;0.0181926;9.61928e-005;90;301129;
178.64;0;0;0;-3;1500;51.3166;1543.45;84.7423;0.0181978;9.62207e-005;90;302678;
179.644;0;0;0;-3;1500;48.3058;1543.89;84.7423;0.0182031;9.62485e-005;90;304227;
180.647;0;0;0;-3;1500;45.295;1544.33;84.7424;0.0182084;9.62764e-005;90;305777;
181.651;0;0;0;-3;1500;42.2842;1544.77;84.7424;0.0182136;9.63042e-005;90;307327;
182.654;0;0;0;-3;1500;39.2734;1545.21;84.7424;0.0182189;9.63321e-005;90;308878;
183.658;0;0;0;-3;1500;36.2627;1545.65;84.7424;0.0182242;9.63599e-005;90;310429;
184.662;0;0;0;-3;1500;33.2519;1546.09;84.7424;0.0182294;9.63878e-005;90;311981;
185.665;0;0;0;-3;1500;30.2411;1546.53;84.7424;0.0182347;9.64157e-005;90;313533;
186.669;0;0;0;-3;1500;27.2303;1546.97;84.7424;0.01824;9.64436e-005;90;315086;
187.672;0;0;0;-3;1500;24.2195;1547.41;84.7424;0.0182453;9.64715e-005;90;316639;
188.676;0;0;0;-3;1500;21.2087;1547.86;84.7424;0.0182505;9.64994e-005;90;318192;
189.68;0;0;0;-3;1500;18.1979;1548.3;84.7424;0.0182558;9.65273e-005;90;319746;
190.683;0;0;0;-3;1500;15.1872;1548.74;84.7424;0.0182611;9.65552e-005;90;321300;
191.687;0;0;0;-3;1500;12.1764;1549.18;84.7424;0.0182664;9.65831e-005;90;322855;
192.69;0;0;0;-3;1500;9.16558;1549.62;84.7424;0.0182717;9.6611e-005;90;324410;
193.694;0;0;0;-3;1500;6.15479;1550.06;84.7424;0.0182769;9.66389e-005;90;325966;
194.698;0;0;0;-3;1500;3.144;1550.5;84.7424;0.0182822;9.66669e-005;90;327522;
195.701;0;1;0;-1.9964;1500;0.636818;1626.09;93.37;0.00809819;3.88624e-005;90;329154;
196.705;0;1;0;-0.992809;1500;-0.863162;1723.51;93.3646;0.00200302;9.61287e-006;90;330883;
197.708;0;0;0;0;1500;0;1729.21;84.7261;0;0;90;332619;
